|name        |t90     |t90_error|flux_batse_64|flux_batse_64_error|
|GRB111011094|   1.472|    0.771|       8.6059|             0.6902|
|GRB100322045|  37.121|    0.362|      11.7287|             0.8969|
|GRB110120666|  26.173|    1.568|       9.6867|             0.9458|
|GRB120820585| 107.522|    9.159|       1.1645|             0.2581|
|GRB110407998|   9.024|    0.091|      11.0377|             0.7902|
|GRB100218194|  29.185|    5.813|       1.3461|             0.5114|
|GRB121229533|  23.037|    1.810|       2.4178|             0.5132|
|GRB121123421| 102.338|   31.849|       2.5300|             0.5197|
|GRB090516353| 123.138|    2.064|       2.8344|             0.6586|
|GRB090917661|  26.624|    1.134|       1.5668|             0.3534|
|GRB130306991| 120.578|    5.515|      16.0483|             2.8112|
|GRB110803783| 186.883|    2.986|       0.9318|             0.3170|
|GRB101127102|  60.672|    7.322|       0.9293|             0.3995|
|GRB090804940|   5.568|    0.362|      19.3961|             1.6829|
|GRB110424758|   0.672|    1.120|       2.7743|             0.5479|
|GRB100926694|  37.888|    2.611|       1.4363|             0.3889|
|GRB121004211|   1.536|    0.572|       2.4985|             0.5784|
|GRB090514006|  43.521|    1.739|       4.0469|             0.7548|
|GRB110923835|  46.398|   11.279|       2.3681|             0.4906|
|GRB130123843|  22.016|    1.448|       1.7812|             0.3883|
|GRB110207470|  37.888|    2.290|       4.7831|             0.6384|
|GRB081024851|  56.065|    2.064|       1.8218|             0.7296|
|GRB110503145|   7.936|    1.145|       2.5350|             0.4735|
|GRB111103441|  11.968|    6.426|       3.8644|             0.6123|
|GRB120402669|  20.224|    0.810|       3.0430|             0.3637|
|GRB100517154|  30.464|    0.810|       6.9666|             0.7536|
|GRB090720276|   4.480|    1.086|       5.7647|             0.8377|
|GRB110227420|  25.600|    6.869|       1.7362|             0.4858|
|GRB110108977|  51.456|    6.955|       1.0587|             0.5880|
|GRB120119170|  55.297|    6.229|       8.7469|             0.7728|
|GRB090426690|   7.488|    2.496|       3.0287|             0.7823|
|GRB090829702| 101.633|    2.290|       1.8391|             0.5760|
|GRB120907017|   5.760|    1.778|       3.6694|             0.9123|
|GRB090405663|   0.448|    1.498|       3.9952|             0.5286|
|GRB090413122|  32.513|    4.360|       2.5008|             0.6697|
|GRB081120618|  25.344|    0.923|       1.6676|             0.4537|
|GRB120817057|  36.864|    4.672|       0.9876|             0.2851|
|GRB081206987|  22.528|    2.919|       0.8511|             0.4074|
|GRB090319622|  54.785|    2.202|       2.1205|             0.4866|
|GRB120429003|   1.664|    0.968|       2.5810|             0.5060|
|GRB110426629| 356.357|    4.345|       2.1840|             0.5584|
|GRB120129312|   1.280|    0.689|       1.0076|             0.3084|
|GRB101025146|  14.336|    1.846|       0.5883|             0.2112|
|GRB090217206|  33.281|    0.724|       6.9145|             0.6878|
|GRB100401297|  92.416|    4.291|       1.7795|             0.3806|
|GRB090330279|  75.265|    1.379|       3.6331|             0.4815|
|GRB100516369|   2.112|    1.134|       3.1375|             0.4922|
|GRB130213905|  15.360|    6.557|       0.7504|             0.4148|
|GRB110717180|   0.112|    0.072|      10.9482|             1.0846|
|GRB111113410|  15.360|    1.639|       2.8960|             0.4531|
|GRB101031625|   0.384|    0.462|       5.2254|             0.7351|
|GRB110618760|  89.601|    4.291|       2.6606|             0.5357|
|GRB120223933|  14.336|    2.360|       2.5903|             0.5733|
|GRB120604220|  10.496|    5.615|       3.4456|             0.5638|
|GRB090326633|  16.128|    3.208|       1.9027|             0.8248|
|GRB120118709|  37.825|   12.586|       1.6505|             0.5308|
|GRB090929190|   6.174|    1.298|      14.8973|             1.6586|
|GRB120411925|  38.912|    1.493|       1.1296|             0.3362|
|GRB080912360|  16.384|    2.896|       1.2301|             0.5796|
|GRB101104810|   1.280|    0.572|       3.1982|             0.7061|
|GRB111017657|  11.072|    0.410|       9.4089|             0.7212|
|GRB080818579|  59.329|    8.749|       3.7108|             0.7729|
|GRB100330856|   5.120|    0.453|       1.3571|             0.6712|
|GRB080816989|   4.608|    0.453|       4.1140|             0.6171|
|GRB110528624|  69.633|    5.526|       1.5845|             0.4482|
|GRB090718720|  76.481|    3.416|       1.6405|             1.0180|
|GRB100707032|  81.793|    1.218|      31.9553|             1.7219|
|GRB090625234|  14.336|    0.923|       1.4528|             0.4669|
|GRB080906212|   2.875|    0.767|      13.0213|             0.7543|
|GRB110921444| 149.507|   10.691|       1.3790|             0.4041|
|GRB111008992|  42.496|    4.128|       0.9566|             0.3324|
|GRB081130629|  39.169|    3.620|       2.9847|             0.5717|
|GRB080825593|  20.992|    0.231|      16.6504|             1.0892|
|GRB100420008|  19.712|    1.144|       3.8036|             0.5036|
|GRB100511035|  42.433|    1.478|      11.8884|             1.0575|
|GRB101016243|   3.840|    0.362|       5.8847|             0.5235|
|GRB121023322|   0.512|    0.181|       5.3505|             0.7217|
|GRB100829374|  94.977|    2.767|       3.9284|             0.5695|
|GRB090616157|   1.152|    1.168|       1.5740|             0.6985|
|GRB120204054|  49.089|    0.429|      16.6430|             0.8581|
|GRB121031949| 242.436|    4.404|       2.6658|             0.5548|
|GRB110613631|  40.193|    3.874|       1.2051|             0.3989|
|GRB100427356|  12.544|    7.389|       2.8539|             0.8222|
|GRB090713020|  82.817|    2.318|       2.6461|             0.7894|
|GRB110605780|   1.536|    1.056|       2.0716|             0.3975|
|GRB121008424|   3.456|    0.345|       1.9550|             0.5012|
|GRB080824909|   7.424|    2.005|       5.9357|             0.9564|
|GRB080913735|  41.217|    7.281|       2.7026|             0.8136|
|GRB110730660|  33.856|    1.811|       3.4781|             0.7911|
|GRB120604343|  12.032|    3.278|       1.1567|             0.3763|
|GRB100122616|  22.529|    2.769|      11.0517|             1.6870|
|GRB090815300|  48.385|    1.086|       1.0025|             0.4379|
|GRB100701490|  22.016|    5.568|      24.7070|             1.9317|
|GRB120618919|  47.616|   12.299|       4.6654|             0.9960|
|GRB081122614|   0.192|    0.091|       3.6237|             0.5083|
|GRB121005030|  96.768|    3.556|       2.7656|             0.8621|
|GRB090202347|  12.608|    0.345|       4.0042|             0.7730|
|GRB111024896|   0.960|    1.032|       3.4995|             0.7445|
|GRB091202072|  27.648|    3.566|       1.8356|             0.7050|
|GRB130214137|  96.768|    5.443|       0.8116|             0.3111|
|GRB100612726|   8.576|    3.210|      11.8137|             1.1340|
|GRB100810049|   2.560|    1.741|       1.3288|             0.4597|
|GRB110923481|   1.664|    0.264|       0.8130|             0.2243|
|GRB120218276| 256.260|    5.221|       1.5787|             0.4467|
|GRB100117879|   0.256|    0.834|       5.2259|             0.8568|
|GRB130305526| 118.528|   15.691|       0.9874|             0.4014|
|GRB120121251|  37.121|   11.876|       3.5793|             0.5530|
|GRB120915474|   5.888|    0.923|       1.1591|             0.3174|
|GRB100330309|  10.048|    0.318|       3.7825|             0.5035|
|GRB100717372|   5.952|    1.507|       1.8156|             0.4412|
|GRB120629565|   0.704|    1.026|       0.8285|             0.2120|
|GRB101026034|   0.256|    0.091|       7.4740|             1.0165|
|GRB130214800|  13.760|    1.639|       3.5723|             0.4529|
|GRB081101491|   0.128|    0.091|       3.3191|             0.8013|
|GRB090826068|   8.704|    2.862|       1.7619|             0.6808|
|GRB090809978|  11.008|    0.320|      13.5576|             1.1649|
|GRB090519881|  74.177|    5.177|       1.1496|             0.6199|
|GRB101113483|  12.288|    0.572|       1.9792|             0.4172|
|GRB130324042|  56.320|    2.862|       1.1164|             0.3276|
|GRB100225580|   6.400|    1.086|       7.0261|             0.8226|
|GRB100728439|  10.240|    1.846|       3.2973|             0.5178|
|GRB080810549|  75.201|    3.638|       2.8797|             0.5207|
|GRB100326402| 144.130|   26.959|       2.3012|             0.5603|
|GRB090518080|   2.048|    0.410|       1.9504|             1.1550|
|GRB091230260|  62.976|    3.874|       0.9707|             0.3184|
|GRB101129726|   0.576|    0.202|       8.7222|             0.6743|
|GRB090409288|  30.337|    2.796|       1.1153|             0.7503|
|GRB120531393|  25.344|    7.186|       0.9966|             0.3818|
|GRB110824009|  76.607|    9.220|      14.1270|             0.8500|
|GRB110812899|  11.264|    3.727|       1.5528|             0.4359|
|GRB130404428|   3.328|    1.493|       3.8691|             0.5558|
|GRB091128285|  76.289|    1.280|       7.4645|             0.9630|
|GRB110206202|  12.288|    1.639|       1.9359|             0.5974|
|GRB090623913|   7.168|    3.114|       2.5864|             0.5069|
|GRB120914144|  10.240|    4.048|       2.1144|             0.5065|
|GRB110529811|  34.816|    4.636|       1.5817|             0.4144|
|GRB101123952| 103.938|    0.572|      23.9581|             1.2723|
|GRB130216790|  12.992|    1.280|       6.3599|             0.7976|
|GRB110726211|  29.953|   10.608|       2.5622|             0.5306|
|GRB110806934|  28.416|    0.923|       2.4509|             0.3841|
|GRB101003244|   9.984|    1.448|       1.8386|             0.4789|
|GRB091227294|  21.888|    0.889|       3.1333|             0.7978|
|GRB130117087|  78.848|    2.636|       0.9614|             0.4031|
|GRB110302043|  38.336|    2.509|       1.9412|             0.4770|
|GRB100616773|   0.192|    0.143|       4.2410|             1.3386|
|GRB090331681|   0.832|    0.143|       3.9771|             0.8156|
|GRB120603439|   0.384|    0.345|       6.4828|             0.9393|
|GRB080829790|   7.680|    0.377|       2.7655|             0.9853|
|GRB100223110|   0.256|    0.091|       7.4860|             0.8682|
|GRB091231540|  15.616|    2.757|       0.8292|             0.4459|
|GRB111127810|  19.008|    2.548|       5.6580|             0.7556|
|GRB090908314|  71.937|    6.817|       2.3591|             0.4845|
|GRB111226795|  74.753|    8.749|       2.2376|             0.3961|
|GRB100503554| 139.779|    0.923|       5.7465|             0.5522|
|GRB101208203|   0.192|    1.478|       2.4160|             0.7523|
|GRB100517243|  29.633|    4.482|       1.4512|             0.6802|
|GRB081012045|   1.216|    1.748|       1.8210|             0.3740|
|GRB090904581|  38.401|    3.093|       0.8713|             0.3911|
|GRB080730520|  17.408|    6.229|       3.7033|             0.7474|
|GRB111124308|   8.960|    3.114|       0.9605|             0.3140|
|GRB091220442|  18.368|    0.590|       3.4317|             0.9536|
|GRB120415891|   0.960|    0.264|       1.5931|             0.3143|
|GRB110729142| 408.582|    2.290|       4.5933|             0.6208|
|GRB120111051|  76.801|    5.514|       1.5970|             0.4922|
|GRB110722694|  73.473|   11.404|       3.1865|             0.6363|
|GRB090411991|  14.336|    1.086|       3.8395|             0.9631|
|GRB080808565|  17.728|    1.489|       2.4473|             0.7442|
|GRB100719989|  21.824|    1.305|      39.9774|             2.3102|
|GRB110626448|   6.400|    1.145|       2.1508|             0.4813|
|GRB120213606|  13.824|    3.328|       4.9310|             0.5610|
|GRB100423244|  16.512|    2.226|       2.5885|             0.5897|
|GRB111216389|  81.921|    0.724|       9.2021|             1.0092|
|GRB110706202|  12.032|    4.382|       2.3929|             0.3825|
|GRB110119931| 205.828|    1.864|       2.8407|             0.5471|
|GRB100919884|  49.601|    2.975|       2.3806|             0.5628|
|GRB090429753|   0.640|    0.466|       3.7813|             0.8257|
|GRB110517573|  23.040|    0.362|       5.5254|             0.6087|
|GRB120806007|  26.624|    1.557|       3.2261|             0.4668|
|GRB121122870| 125.439|    0.724|       3.2935|             0.5962|
|GRB120528442|  16.384|    5.177|       2.8717|             0.5729|
|GRB110625881|  26.881|    0.572|      39.7742|             1.5506|
|GRB130217688|  14.848|    2.202|       1.9357|             0.5731|
|GRB100924165|   9.024|    0.362|       5.5460|             0.5945|
|GRB120412920| 101.182|    4.871|       3.6740|             0.6887|
|GRB110706977|  33.217|    4.007|       2.9536|             0.5655|
|GRB120624309|   0.640|    0.160|      48.9318|             1.3144|
|GRB090807832|  17.920|    2.757|       4.9783|             0.4964|
|GRB081216531|   0.768|    0.429|      16.6573|             1.2743|
|GRB111105457|  43.264|    0.572|       1.6201|             0.4781|
|GRB080818945|  13.376|    0.410|       2.4102|             0.7265|
|GRB110102788| 253.956|    2.049|       8.6109|             0.6478|
|GRB101127093|  29.440|    4.471|       0.8497|             0.4081|
|GRB130318456| 121.088|    1.448|       1.6700|             0.5647|
|GRB080714086|   5.376|    2.360|       1.5215|             0.7395|
|GRB120227391|  19.712|    1.717|       3.4294|             0.9176|
|GRB121211695|   8.960|    1.864|       2.1052|             0.4080|
|GRB080725541|   0.960|    1.292|       2.9929|             0.7758|
|GRB100414097|  26.497|    2.073|      14.5103|             1.0478|
|GRB101207536|  61.441|    3.727|       3.0649|             0.4944|
|GRB110529262|  45.825|    1.810|       7.3207|             0.7064|
|GRB090206620|   0.320|    0.143|       6.5781|             0.7252|
|GRB080920268| 113.921|    3.125|       1.1914|             0.5739|
|GRB120624933| 271.364|    4.580|       9.9939|             0.7106|
|GRB110415541| 166.146|    0.810|       3.1527|             0.6777|
|GRB091202219| 118.274|    8.942|       1.8772|             0.5012|
|GRB100522157|  35.326|    0.715|       8.9111|             0.9483|
|GRB120130906|   3.584|    1.379|       1.3003|             0.2892|
|GRB090301315|  23.296|    2.064|       2.0619|             0.6267|
|GRB120716712| 226.048|    1.056|       7.7284|             0.7611|
|GRB101112984|  82.944|    1.717|       1.4661|             0.4373|
|GRB090703329|   8.960|    1.864|       1.8384|             0.4474|
|GRB120302722|   1.600|    0.779|       1.9772|             0.4526|
|GRB120224898|  29.184|    4.222|       1.4126|             0.3581|
|GRB100417789|  52.545|    1.856|       1.6402|             0.8595|
|GRB080715950|   7.872|    0.272|      10.6985|             0.9456|
|GRB101211485|  13.568|    7.030|       2.6415|             0.5849|
|GRB110926107|  75.265|    1.280|       3.8919|             0.6026|
|GRB120420858| 254.913|    4.222|       3.4900|             0.6705|
|GRB130307238|  63.488|    1.846|       1.6888|             0.5675|
|GRB091103912|  13.568|    6.023|       4.1621|             0.6260|
|GRB110601681|  52.206|   13.350|       2.8887|             0.4109|
|GRB090428552|  31.488|   11.846|       2.5112|             0.9569|
|GRB100313509|  34.048|    2.996|       1.0233|             0.3789|
|GRB110531448|  38.656|    2.360|       1.0279|             0.3662|
|GRB091201089|  12.992|    2.010|       1.0034|             0.4495|
|GRB130219626|   1.536|    1.405|       4.1586|             0.6235|
|GRB091005679|   6.976|    0.572|       1.7029|             0.6970|
|GRB120608777|  24.832|    3.840|       2.3730|             0.5429|
|GRB120609580|   1.792|    0.810|       1.7315|             0.4422|
|GRB100713980|   7.616|    0.529|       3.4204|             0.6150|
|GRB100905907|  11.520|    1.145|       2.4569|             0.6080|
|GRB130215063| 143.746|   13.029|       2.0556|             0.4756|
|GRB100206563|   0.176|    0.072|      12.8210|             0.8554|
|GRB110412315|  20.733|    4.636|       1.6806|             0.3502|
|GRB091123081|  15.552|    1.866|       2.0854|             0.6331|
|GRB120512112|  18.176|    1.350|       4.0134|             0.4130|
|GRB100612545|   0.576|    0.181|       5.2734|             0.9695|
|GRB090530760| 157.699|    2.862|       6.3584|             0.6492|
|GRB090925389|  25.472|    3.525|       3.2718|             0.9668|
|GRB121104627|  59.137|    7.241|       1.6886|             0.4437|
|GRB121102064|   2.048|    1.379|       0.7917|             0.2853|
|GRB081009690|  34.560|    2.064|       3.9840|             0.6772|
|GRB100116897| 102.530|    1.485|       7.8287|             1.0330|
|GRB111228453|   2.944|    0.979|       4.1048|             0.5197|
|GRB090626707|        |         |             |                   |
|GRB121012724|   0.448|    0.091|       6.2917|             0.6765|
|GRB130216927|   6.592|    0.345|       7.6166|             0.6425|
|GRB100621529|   1.024|    0.202|       1.5484|             0.6384|
|GRB100225249|  32.000|   20.419|       1.2547|             0.6103|
|GRB100111176|  19.520|    5.367|       1.1825|             0.9054|
|GRB110825102|  62.465|    0.231|      36.3033|             1.3037|
|GRB101015558| 508.168|    2.673|       2.4207|             0.4792|
|GRB090915650|  76.609|    1.559|       2.0093|             0.8260|
|GRB100228544|  67.072|    4.720|       0.9713|             0.7275|
|GRB110307972|   2.304|    3.444|       3.0613|             0.5113|
|GRB090617208|   0.192|    0.143|       9.7440|             0.8053|
|GRB130116415|  66.816|    6.085|       2.3835|             0.7960|
|GRB100413732| 184.067|    7.786|       1.9015|             0.5421|
|GRB100811108|   0.384|    0.091|       7.2999|             0.6872|
|GRB110227229|  18.432|    2.187|       2.1587|             0.5311|
|GRB100210101|  29.184|    5.655|       1.7404|             0.7175|
|GRB120727681|  10.496|    1.639|       6.6909|             0.5888|
|GRB110228792|  17.152|    2.360|       0.8076|             0.2570|
|GRB100131730|   3.520|    0.453|      19.5111|             1.3625|
|GRB120122300|  16.701|    1.881|       2.0803|             0.5560|
|GRB110220761|  33.024|    8.738|       1.9344|             0.3868|
|GRB081022364|  17.152|    3.727|       1.4111|             0.3844|
|GRB090424592|  14.144|    0.264|      64.9839|             1.8830|
|GRB091208410|  12.480|    5.018|      11.0772|             1.4282|
|GRB120905657| 195.587|   16.795|       1.7089|             0.3467|
|GRB081107321|   1.664|    0.234|       5.0838|             0.7870|
|GRB090323002| 133.890|    0.572|       9.1611|             0.6626|
|GRB120830702|  49.665|    4.382|       2.6870|             0.4338|
|GRB100709602| 100.098|    1.527|       3.0397|             1.0566|
|GRB091215234|   4.352|    0.362|       1.2882|             0.3472|
|GRB120824594| 111.618|    7.241|       1.5587|             0.4256|
|GRB101231067|  23.613|    0.572|       9.8412|             0.9281|
|GRB110906302|  23.936|    2.550|       3.3656|             0.5710|
|GRB090629543|  20.480|    4.762|       0.8000|             0.3425|
|GRB090612619|  37.120|    1.717|       5.1760|             0.5288|
|GRB121210081|  12.800|    3.238|       1.5604|             0.5135|
|GRB080925775|  31.744|    3.167|       8.5766|             0.9122|
|GRB090423330|   7.168|    2.415|       1.2609|             0.4745|
|GRB091224373|   0.768|    0.231|       3.0407|             0.8739|
|GRB111228657|  99.842|    2.111|       7.2978|             0.6777|
|GRB100814351|   7.424|    0.923|       3.9689|             0.6109|
|GRB100502356|  95.810|    2.382|       3.3598|             0.6142|
|GRB081009140|  41.345|    0.264|      39.9325|             2.4870|
|GRB120430980|  14.592|    2.172|       0.7619|             0.4396|
|GRB100719825|   3.072|    3.114|       1.1801|             0.5367|
|GRB100228873|   8.704|    2.318|       1.2098|             0.7373|
|GRB100516396|   0.640|    0.487|       1.7473|             0.4657|
|GRB100101988|   1.984|    2.049|       1.3399|             0.5501|
|GRB130109206|   8.960|    1.208|       3.5263|             0.4649|
|GRB110622158|  70.401|    0.773|       8.1448|             0.6970|
|GRB100717446|   2.432|    1.356|       2.3884|             0.4486|
|GRB100527795| 190.979|    6.759|       4.5178|             0.5607|
|GRB090522344|  20.288|    6.262|       1.9518|             0.8054|
|GRB110428338| 101.634|    2.919|       4.5521|             0.5859|
|GRB100301223|  26.625|    1.431|       2.5696|             0.8017|
|GRB110728056|   0.704|    0.231|       2.6498|             0.4832|
|GRB100625891|  29.184|    1.086|       1.1285|             0.3235|
|GRB080804456| 521.862|    4.291|       1.4010|             0.3939|
|GRB100608382|  30.208|    1.619|       1.6195|             0.4079|
|GRB090907808|   0.832|    0.320|       4.6580|             0.5119|
|GRB120519721|   1.056|    0.451|       6.1012|             0.8435|
|GRB100130777|  86.018|    6.988|       2.1615|             0.6873|
|GRB100318611|  18.432|    0.923|       1.6053|             0.8215|
|GRB081024891|   0.640|    0.264|       3.6028|             0.5639|
|GRB090131090|  35.073|    1.056|      13.7723|             1.5179|
|GRB081110601|  11.776|    2.573|      10.9993|             1.0180|
|GRB121223300|  11.005|    0.724|       5.5606|             0.5187|
|GRB100410356|   9.728|    2.202|       0.8775|             0.3369|
|GRB091030828|  98.050|    4.128|       5.6909|             0.9030|
|GRB110820476|  11.264|    7.331|       1.1125|             0.4001|
|GRB101213451|  45.057|    1.950|       3.4945|             0.8566|
|GRB081102365|   1.728|    0.231|       2.9068|             0.5692|
|GRB090811696|  14.848|    1.145|       2.1431|             0.8271|
|GRB100513879|  11.136|    1.145|       3.6519|             0.8499|
|GRB101107011| 375.814|    8.444|       1.8208|             1.2248|
|GRB120814201|   0.896|    1.032|       3.5669|             0.9428|
|GRB090712160|  94.722|    6.700|       1.6490|             0.4179|
|GRB081229675|   0.032|    0.045|       5.3717|             0.7475|
|GRB130115716|  13.568|    1.846|       2.6104|             0.4952|
|GRB090704242|  69.889|    5.724|       2.6027|             0.8825|
|GRB120328268|  29.697|    1.056|      19.8825|             0.9056|
|GRB090717111|   0.384|    0.181|       1.9355|             0.5011|
|GRB130307126|   0.384|    0.091|       4.3600|             0.5983|
|GRB111117510|   0.432|    0.082|       6.2425|             0.7138|
|GRB110709463|  24.061|    0.722|       8.0433|             0.7997|
|GRB091221870|  23.040|    5.177|       3.3521|             0.7255|
|GRB091030613|  19.200|    0.871|       2.7935|             0.6389|
|GRB120327418|   0.256|    1.319|       3.4817|             0.8125|
|GRB120312671|  13.312|    3.167|       1.1740|             0.3592|
|GRB110904531|  20.480|    5.479|       2.1328|             0.5023|
|GRB121202181|  17.152|    1.999|       1.1501|             0.3260|
|GRB120102095|  28.416|    8.204|       9.1831|             0.8709|
|GRB110629174|  61.694|   18.690|       4.7738|             0.6712|
|GRB120727354|   0.896|    1.280|       0.7267|             0.2079|
|GRB100915243|   7.936|    3.367|       1.0402|             0.3612|
|GRB121005340| 141.568|    3.665|       1.9205|             0.4513|
|GRB090112729|  14.080|    5.126|       7.4195|             1.3228|
|GRB091017861|   2.624|    0.462|       1.2975|             0.4480|
|GRB090704783|  19.456|    2.064|       1.0260|             0.4256|
|GRB130104721|  26.368|    3.593|       3.3169|             0.5037|
|GRB120205285|   0.576|    0.272|       1.4821|             0.4005|
|GRB110331604|   3.200|    0.951|       0.9227|             0.3268|
|GRB091023021|   6.528|    1.857|       2.2929|             0.5887|
|GRB120222021|   1.088|    0.143|      10.9119|             0.7945|
|GRB081226156|  83.713|    2.769|       1.7986|             0.4579|
|GRB100816026|   2.045|    0.229|       9.8628|             1.0841|
|GRB101130074|   7.168|    3.482|       1.1296|             0.4676|
|GRB090708152|  21.248|    3.167|       0.7763|             0.3243|
|GRB100406758|   5.888|    2.919|       1.9593|             0.7103|
|GRB110401920|   2.368|    1.270|       6.9021|             0.8150|
|GRB081217983|  29.696|   12.892|       3.4953|             0.6367|
|GRB120913846|  33.792|    1.379|       0.9894|             0.2187|
|GRB100515467|  10.624|    1.431|       8.6527|             0.9974|
|GRB090902462|  19.328|    0.286|      47.0507|             1.9187|
|GRB090820027|  12.416|    0.181|      68.1226|             2.9755|
|GRB101220864|  31.745|    2.187|       3.0303|             0.7466|
|GRB080927480|  45.313|    3.083|       1.4425|             0.4358|
|GRB100208386|   0.192|    0.264|       1.1968|             1.0688|
|GRB110213876|   0.448|    0.870|       1.7456|             0.5170|
|GRB100804104|   6.592|    0.771|       9.3864|             1.1075|
|GRB100629801|   0.832|    0.373|      10.1061|             1.8029|
|GRB100528075|  22.464|    0.749|       7.3665|             1.0614|
|GRB110123804|  17.856|    0.810|       5.4225|             0.5580|
|GRB110128073|  12.160|    4.971|       1.4053|             0.4164|
|GRB111201599|  16.896|    3.974|       1.5073|             0.3963|
|GRB080730786|  13.312|    4.222|       8.7479|             0.9030|
|GRB110705364|  19.200|    0.923|       4.0185|             0.5137|
|GRB111112908|   0.224|    0.097|       7.9414|             0.6859|
|GRB120427054|   5.376|    0.572|      10.0993|             0.8547|
|GRB110301214|   5.693|    0.362|      48.6915|             1.7234|
|GRB100211440|  21.376|    0.923|       4.3875|             1.3151|
|GRB130331566|  13.824|    1.379|       8.0031|             1.0424|
|GRB120302080|  80.384|   16.927|       0.9133|             0.3473|
|GRB130106829|  11.264|    1.379|       1.6838|             0.4226|
|GRB120323507|   0.384|    0.036|     188.5770|             3.1859|
|GRB081119184|   0.320|    0.680|       2.4335|             0.6464|
|GRB100315361|  35.584|    2.290|       1.2203|             0.3972|
|GRB121211574|   5.632|    1.717|       1.3877|             0.3503|
|GRB090610883|   7.424|    1.639|       1.0245|             0.5228|
|GRB091126389|   0.024|    0.097|       2.1858|             0.4330|
|GRB100829876|   8.704|    0.389|      50.2956|             2.0761|
|GRB090730608|   9.088|    1.680|       3.4907|             0.4054|
|GRB081204517|   0.192|    0.286|       6.4471|             0.8301|
|GRB080830368|  40.897|    5.069|       2.9911|             0.7283|
|GRB120109824|  38.656|    3.114|       1.6755|             0.7228|
|GRB100530737|   3.328|    0.810|       1.3978|             0.5695|
|GRB100302061|   2.240|    1.605|       1.3829|             0.3883|
|GRB090419997| 184.323|    3.806|       2.0045|             0.4737|
|GRB110706728|  16.896|    6.339|       3.2960|             0.5995|
|GRB130220964|   6.400|    0.810|      11.5328|             0.6509|
|GRB090529310|   3.072|    0.362|       1.9362|             0.7158|
|GRB100212550|   3.773|    0.270|       2.9592|             0.7220|
|GRB090227772|   0.304|    0.023|      38.4254|             1.4812|
|GRB110413938|  54.272|    2.172|       1.0446|             0.3753|
|GRB110217591|  60.672|   11.611|       0.8242|             0.3170|
|GRB090528516|  79.041|    1.088|       8.4471|             0.8522|
|GRB101225377|  81.218|   35.377|       4.4489|             0.6335|
|GRB080924766|  39.937|    4.222|       2.2896|             0.6936|
|GRB080821332|   5.888|    0.264|       5.4883|             1.0348|
|GRB081206275|  24.576|    5.724|       2.0099|             0.7978|
|GRB120217904|   2.624|    0.300|      23.5380|             1.2115|
|GRB080724401| 379.397|    2.202|      10.7115|             0.6581|
|GRB100307928|  16.128|    2.187|       2.0753|             0.7100|
|GRB110304071|  19.520|    1.498|       3.9613|             0.7027|
|GRB090102122|  26.624|    0.810|      10.0147|             0.9669|
|GRB120814803|   0.192|    0.272|       2.8133|             0.4619|
|GRB081223419|   0.576|    0.143|       7.7044|             0.8774|
|GRB090113778|  17.408|    3.238|       3.6071|             0.7141|
|GRB090328713|   0.192|    1.032|       5.8035|             0.5532|
|GRB100929315|   4.608|    1.305|       1.5467|             0.4752|
|GRB121221916|  38.913|    2.290|       1.8268|             0.4018|
|GRB111230683|  28.160|    1.557|       2.9795|             0.8621|
|GRB111203054|  55.553|    5.684|       3.8438|             0.5446|
|GRB110831282|  98.881|    3.138|       2.5410|             0.5001|
|GRB100831651|  40.193|   11.986|       1.1854|             0.4185|
|GRB100225703|   4.480|    1.431|       2.3217|             0.6034|
|GRB100805300|   0.064|    0.072|      11.3504|             1.7842|
|GRB090802235|   0.048|    0.023|      16.0392|             1.2791|
|GRB090126227|   5.632|    0.810|       1.4742|             0.6696|
|GRB110311812|   6.400|    1.639|       2.1387|             0.5338|
|GRB110928180| 148.226|    1.925|       3.6955|             0.5530|
|GRB111231622|   8.256|    4.136|       2.8359|             1.2499|
|GRB120612680|  63.232|    7.886|       1.3628|             0.3775|
|GRB101224614|  25.601|    3.416|       1.6095|             0.4613|
|GRB110813237|  22.784|    3.114|       3.8800|             0.5550|
|GRB120703417|  64.513|    3.083|       3.5810|             0.5625|
|GRB110101506| 235.523|    8.256|       1.5981|             0.4496|
|GRB090207777|  24.832|    3.899|       1.8569|             0.4012|
|GRB120520949|   5.760|    1.356|       1.6963|             0.3503|
|GRB100216422|   0.192|    0.143|       4.4618|             0.7599|
|GRB081003644|  50.177|    3.692|       2.5590|             0.9750|
|GRB090610648|   6.144|    8.136|       1.9029|             0.6478|
|GRB120120432|  32.256|    6.481|       1.4031|             0.4179|
|GRB110226989|  14.080|    0.923|       1.3657|             0.4613|
|GRB110904124|  83.905|    3.853|       4.1974|             0.6464|
|GRB110124784|   5.376|    2.202|       0.8891|             0.2948|
|GRB110921577|  40.705|    1.810|       1.7248|             0.5092|
|GRB110101202|   3.584|    1.493|       1.3797|             0.4335|
|GRB091003191|  20.224|    0.362|      22.1866|             2.1131|
|GRB120916173|  52.993|    0.810|       1.3300|             0.4652|
|GRB090726218|   7.680|    0.724|       0.8595|             0.3823|
|GRB120702891|  35.073|    4.924|       1.1590|             0.4111|
|GRB090228976|   7.936|    1.379|       1.1432|             0.3846|
|GRB120217808|   5.888|    2.862|       3.4757|             0.7292|
|GRB101008697|   8.960|    1.846|       2.6235|             0.5645|
|GRB091112928|  21.184|    0.977|       2.4918|             0.6747|
