|name        |t90     |t90_error|flux_batse_64|flux_batse_64_error|
|GRB081008832| 126.722|    2.360|       2.0346|             0.4802|
|GRB130127299|  19.456|    2.721|       1.0353|             0.3957|
|GRB110319815|  31.232|    5.049|       2.4371|             0.8083|
|GRB110801335|   0.384|    0.326|       6.1003|             1.2103|
|GRB080916406|  46.337|    7.173|       4.2032|             0.6666|
|GRB111009282|  20.736|    4.221|       8.5696|             0.8111|
|GRB111220486|  39.041|    5.101|      19.4028|             1.0168|
|GRB090519462|  91.329|    3.692|       1.6529|             0.9150|
|GRB080916009|  62.977|    0.810|       7.3213|             0.6874|
|GRB100825287|   3.328|    1.846|       2.6515|             0.6252|
|GRB120316008|  26.624|    0.362|       6.2598|             0.8927|
|GRB110205588| 158.720|    2.290|       1.8056|             0.8354|
|GRB101224578|  44.737|    0.889|       1.8457|             0.3847|
|GRB121112806|   1.280|    1.358|       2.2883|             0.4940|
|GRB120510900|  62.465|    3.908|       1.4289|             0.4909|
|GRB130228212|  15.677|    0.627|      14.4004|             1.9907|
|GRB080928628|  14.336|    4.007|       1.6946|             0.3101|
|GRB090213236|  20.224|    6.192|       1.3272|             0.4329|
|GRB081129161|  62.657|    7.318|       9.7753|             1.2582|
|GRB120331055|  16.384|   10.367|       6.0476|             0.8749|
|GRB090720710|  10.752|    1.056|      18.0365|             0.9751|
|GRB120728934|  32.768|    2.429|       3.3182|             0.7558|
|GRB100715477|  14.848|    3.665|       1.6846|             0.6092|
|GRB081109293|  58.369|    5.221|       1.7046|             0.7043|
|GRB100201588| 141.059|    4.048|       2.3653|             0.5046|
|GRB090308734|   1.664|    0.286|       6.2012|             0.7141|
|GRB120117291|   3.328|    1.600|       1.1212|             0.3650|
|GRB110227009|   1.728|    0.653|       1.8717|             0.4900|
|GRB110930564|  37.889|    5.431|       2.4985|             0.6558|
|GRB100204566|  32.513|    2.862|       2.4566|             1.2568|
|GRB080804972|  24.704|    1.460|       2.5181|             0.6813|
|GRB100313288|  12.864|    2.099|       4.4490|             0.7239|
|GRB120521380|  91.134|    4.222|       1.3928|             0.3791|
|GRB120420249|  25.600|    4.419|       2.1038|             0.5276|
|GRB121127914|   0.640|    0.405|       9.8637|             0.8958|
|GRB090412061|   0.896|    0.264|       2.3680|             0.5713|
|GRB080831053|   0.576|    1.168|       2.6781|             0.5759|
|GRB100620119|  51.841|    8.518|       2.6606|             0.8557|
|GRB090920035|  26.624|    1.056|       2.1945|             1.4479|
|GRB110319628|  15.104|    1.379|       1.3181|             0.4883|
|GRB101014175| 449.415|    1.409|      36.2838|             1.5091|
|GRB090805622|  46.592|    2.318|       2.3152|             1.4477|
|GRB110706477|  73.217|   14.612|       2.1397|             0.4559|
|GRB081215880|   7.680|    2.064|       3.0771|             0.7406|
|GRB090418816|   0.320|    0.405|       3.1000|             0.5625|
|GRB120709883|  27.328|    0.958|      10.9079|             0.7653|
|GRB100819498|  12.544|    1.810|       1.9789|             0.7094|
|GRB091207333|  27.073|    0.916|       2.5778|             0.8040|
|GRB121205507|   2.816|    0.231|       0.8985|             0.4019|
|GRB101013412|  15.360|    0.572|       4.7766|             0.9044|
|GRB090309767|  56.513|    5.146|       1.9979|             0.7370|
|GRB091015129|   3.840|    0.590|       2.9178|             0.9700|
|GRB130121835| 178.691|    1.145|      15.7164|             1.3085|
|GRB101227536|  28.864|    3.088|       4.3524|             0.6267|
|GRB110322558|  36.097|    1.846|       2.2365|             0.4517|
|GRB100424729| 175.363|    1.086|       2.4799|             0.6120|
|GRB120314412|   1.280|    1.086|       0.9653|             0.3055|
|GRB120212353|   0.864|    0.577|       3.8642|             0.6844|
|GRB100204024|  49.665|    1.379|       2.7164|             0.4766|
|GRB080815917|   0.832|    0.320|       2.6158|             0.8815|
|GRB121027038| 166.915|    3.692|       1.5129|             0.6440|
|GRB081226509|   0.192|    0.143|       5.1292|             0.7772|
|GRB120801920| 479.239|   23.752|       6.9120|             1.7595|
|GRB090706283|  57.857|    7.442|       1.4904|             0.5482|
|GRB130403866|  22.784|    5.838|       1.6509|             0.4710|
|GRB120203812|  10.240|    2.429|       2.7971|             0.7420|
|GRB090630311|   2.880|    0.320|       2.7945|             0.8267|
|GRB090320418|   7.936|    1.296|       1.4856|             0.4908|
|GRB110125894|   4.800|    0.923|       1.3348|             0.4644|
|GRB120304248|   5.376|    0.572|      12.7757|             0.9878|
|GRB100718160|  32.641|    1.864|       2.9767|             0.4798|
|GRB100918863|  88.834|    0.810|       7.7660|             0.8732|
|GRB090427644|   1.024|    0.362|       1.4233|             0.5956|
|GRB110228011|  44.481|    2.834|       3.1553|             0.7346|
|GRB120728434| 100.481|    6.623|      17.7005|             1.2164|
|GRB110817191|   5.949|    0.572|      14.4079|             0.8515|
|GRB120926753|   3.072|    2.064|       1.3252|             0.3898|
|GRB120701654|   1.024|    1.451|       1.5601|             0.4982|
|GRB120919309|  21.248|    1.810|      13.7790|             0.7534|
|GRB120319983|  72.448|    7.832|       1.2304|             0.4049|
|GRB110511616|   5.888|    1.639|       0.8248|             0.4051|
|GRB120323162|   4.352|    0.724|       4.5983|             0.5951|
|GRB111024722|  65.025|    1.639|       6.1271|             0.6637|
|GRB120611108|  49.921|    1.639|       3.6036|             0.5179|
|GRB100517132|  19.840|    3.620|       1.4957|             0.7100|
|GRB110720177|  11.200|    0.602|       3.4163|             0.4863|
|GRB121014638|   0.576|    0.979|       1.5854|             0.3675|
|GRB101004426| 161.027|    7.836|       2.0049|             0.4971|
|GRB090514734|  54.401|    4.077|       2.2199|             0.9722|
|GRB090928646|  15.616|    2.611|       2.7837|             1.1254|
|GRB120719146|  75.009|    3.114|       3.3114|             0.5789|
|GRB081118876|  20.736|    1.379|       3.4075|             0.7705|
|GRB090320045|   2.368|    0.272|       0.9306|             0.5751|
|GRB090623107|  47.105|    2.573|       5.0053|             0.7727|
|GRB111103948|   0.320|    0.181|       4.3165|             0.6167|
|GRB090620901|   0.960|    0.272|       1.7645|             0.7142|
|GRB090227310|  16.189|    0.831|       3.9057|             0.6142|
|GRB121109338|  22.144|    2.919|       3.1278|             0.6711|
|GRB090701225|   4.160|    0.692|       1.6937|             0.7240|
|GRB080823363|  43.456|    1.717|       2.2330|             0.7904|
|GRB130404840|  34.561|    2.573|       5.1990|             0.6747|
|GRB090610723| 146.434|    4.419|       1.7948|             0.4928|
|GRB090328401|  61.697|    1.810|      11.9032|             0.8416|
|GRB110709862|   5.376|    1.493|       2.2229|             0.5291|
|GRB090327404|  14.080|    1.379|       1.6484|             0.6980|
|GRB090117335|  27.264|    1.286|       1.9683|             0.5003|
|GRB110420946|   0.128|    0.516|       6.7237|             1.0930|
|GRB100907751|   5.376|    2.187|       1.8131|             0.4798|
|GRB110118857|  34.561|    2.360|       3.6170|             0.4948|
|GRB110625579|  33.281|    4.924|       1.7975|             0.4903|
|GRB120121101|  18.432|    3.727|       1.5275|             0.3844|
|GRB100625773|   0.240|    0.276|      10.5278|             1.7156|
|GRB101205309|   7.936|    5.938|       0.9496|             0.4069|
|GRB090316311|  10.240|    1.557|       4.2465|             0.5247|
|GRB090907017|  39.489|    4.443|       2.7195|             1.0253|
|GRB090926914|  64.001|    1.557|       2.9541|             0.5855|
|GRB090117632|  86.017|    2.862|       2.6770|             0.5935|
|GRB101224998|  18.688|    8.719|       2.3367|             0.6480|
|GRB110609425|  33.024|    2.896|       1.4089|             0.3358|
|GRB110721200|  21.822|    0.572|      16.9907|             0.8404|
|GRB111107076|  77.185|    0.810|       2.3005|             0.4441|
|GRB101206036|  34.813|    5.837|       3.0545|             0.9436|
|GRB120919052| 118.018|    0.362|       7.3622|             0.6980|
|GRB120612687|   0.256|    0.453|       5.8264|             0.8232|
|GRB090608052|  21.504|    2.290|       1.4402|             0.8005|
|GRB110702187|  34.369|    5.736|       3.2202|             0.6985|
|GRB100118100|   9.216|    6.720|       1.7381|             0.9688|
|GRB111120556|  98.626|    2.970|       2.0557|             0.4846|
|GRB120926426|  60.161|    3.482|       2.9657|             0.7334|
|GRB101102840|  43.520|    6.676|       0.8196|             0.2102|
|GRB091112737|  24.576|    0.923|       2.9359|             0.7999|
|GRB120222119|  29.440|    5.382|       2.2885|             0.5641|
|GRB090718762|  23.744|    0.802|      15.5423|             1.2895|
|GRB090531775|   0.768|    0.231|       2.7407|             0.5620|
|GRB100805845|  58.430|    6.426|       3.9244|             0.6919|
|GRB090528173|  35.905|    2.187|       2.1824|             0.8407|
|GRB081231140|  28.736|    2.611|       7.2987|             1.0547|
|GRB120908873|  46.849|    2.611|       4.1292|             0.7679|
|GRB100504806|  16.512|    1.810|       0.9594|             0.3587|
|GRB100510810|  31.169|    4.017|       2.8118|             1.0627|
|GRB111025078|  51.712|    2.202|       1.8058|             0.5808|
|GRB101128322|   8.192|    1.493|       1.6972|             0.3857|
|GRB121225417|  58.497|    0.820|      14.0193|             0.9826|
|GRB100910818|  13.824|    0.724|      17.0005|             0.7795|
|GRB090427688|  12.288|    1.280|       1.7463|             0.4841|
|GRB101219686|  51.009|    1.775|       1.4913|             0.3539|
|GRB090310189| 116.930|    1.056|       2.8970|             0.7961|
|GRB120707800|  40.960|    4.238|      28.3366|             2.5273|
|GRB110409179|   0.128|    0.143|       6.7147|             0.6123|
|GRB090829672|  67.585|    2.896|      25.4431|             1.3509|
|GRB081222204|  18.880|    2.318|       6.6293|             0.9266|
|GRB110616648|  12.544|    2.611|       1.1909|             0.6229|
|GRB110509142|  68.864|    2.757|       1.3128|             0.5034|
|GRB120119354|  16.896|    3.278|       2.2712|             0.4712|
|GRB081213173|   0.256|    0.286|       2.9649|             0.5755|
|GRB080808451|   4.352|    0.832|       1.2053|             0.4520|
|GRB120506128|   2.304|    1.379|       1.2207|             0.3866|
|GRB091101143|  10.688|    0.842|       8.7035|             1.1450|
|GRB090626189|  48.897|    2.828|      27.2604|             1.8483|
|GRB111109453|   4.864|    2.757|       0.9532|             0.4539|
|GRB080812889|  15.040|    0.462|       1.6780|             0.7126|
|GRB090108322|   0.192|    0.143|       4.6506|             0.6805|
|GRB111022854|   0.192|    0.707|       3.7842|             0.5407|
